x	y	z	L	slope
369070.630405	7647075.277411	1728.75	0.0	7.991278
369080.630405	7647075.277411	1727.346186	10.0	7.991278
369090.630405	7647075.277411	1725.942372	20.0	7.991278
369100.630405	7647075.277411	1724.538558	30.0	7.991278
369110.630405	7647075.277411	1723.134744	40.0	7.991278
369120.630405	7647075.277411	1721.730929	50.0	7.991278
369130.630405	7647075.277411	1720.327115	60.0	7.991278
369140.630405	7647075.277411	1718.923301	70.0	7.991278
369150.630405	7647075.277411	1717.519487	80.0	7.945986
369160.630405	7647075.277411	1716.131792	90.0	7.472062
369170.630405	7647075.277411	1714.896436	100.0	7.042598
369180.630405	7647075.277411	1713.66108	110.0	7.042598
369190.630405	7647075.277411	1712.425723	120.0	7.042598
369200.630405	7647075.277411	1711.190367	130.0	7.042598
369210.630405	7647075.277411	1709.95501	140.0	7.042598
369220.630405	7647075.277411	1708.719654	150.0	7.042598
369230.630405	7647075.277411	1707.484297	160.0	7.042598
369240.630405	7647075.277411	1706.248941	170.0	7.05776
369250.630405	7647075.277411	1705.008212	180.0	7.136967
369260.630405	7647075.277411	1703.744779	190.0	7.200996
369270.630405	7647075.277411	1702.481346	200.0	7.200996
369280.630405	7647075.277411	1701.217913	210.0	7.200996
369290.630405	7647075.277411	1699.954481	220.0	7.200996
369300.630405	7647075.277411	1698.691048	230.0	7.200996
369310.630405	7647075.277411	1697.427615	240.0	7.200996
369320.630405	7647075.277411	1696.164183	250.0	7.200996
369330.630405	7647075.277411	1694.90075	260.0	7.428151
369340.630405	7647075.277494	1693.556721	270.0	8.217587
369350.630405	7647075.277781	1692.012526	280.0	8.778512
369360.630405	7647075.278068	1690.46833	290.0	8.778512
369370.630405	7647075.278355	1688.924135	300.0	8.778512
369380.630405	7647075.278643	1687.379939	310.0	8.778512
369390.630405	7647075.27893	1685.835744	320.0	8.778512
369400.630405	7647075.279217	1684.291548	330.0	8.778512
369410.630405	7647075.279504	1682.747353	340.0	8.778512
369420.630405	7647075.279792	1681.203157	350.0	8.988893
369430.630405	7647075.280102	1679.583733	360.0	9.537386
369440.630405	7647075.280451	1677.842989	370.0	9.875073
369450.630405	7647075.2808	1676.102244	380.0	9.875073
369460.630405	7647075.281149	1674.3615	390.0	9.875073
369470.630405	7647075.281497	1672.620756	400.0	9.875073
369480.630405	7647075.281846	1670.880012	410.0	9.875073
369490.630405	7647075.282195	1669.139268	420.0	9.875073
369500.630405	7647075.282544	1667.398523	430.0	9.875073
369510.630405	7647075.282893	1665.657779	440.0	10.284883
369520.630207	7647075.285352	1663.769504	449.999802	11.139068
369530.630207	7647075.285236	1661.719929	459.999802	11.583128
369540.630207	7647075.28512	1659.670355	469.999802	11.583128
369550.630207	7647075.285004	1657.62078	479.999802	11.583128
369560.630207	7647075.284887	1655.571206	489.999802	11.583128
369570.630207	7647075.284771	1653.521631	499.999802	11.583128
369580.630207	7647075.284655	1651.472057	509.999802	11.583128
369590.630207	7647075.284539	1649.422482	519.999802	11.583128
369600.630207	7647075.284422	1647.372908	529.999802	11.627461
369610.630207	7647075.284285	1645.307206	539.999802	11.704649
369620.630207	7647075.284133	1643.22954	549.999802	11.737511
369630.630207	7647075.28398	1641.151874	559.999802	11.737511
369640.630207	7647075.283828	1639.074208	569.999802	11.737511
369650.630207	7647075.283675	1636.996542	579.999802	11.737511
369660.630207	7647075.283522	1634.918876	589.999802	11.737511
369670.630207	7647075.28337	1632.841211	599.999802	11.737511
369680.630207	7647075.283217	1630.763545	609.999802	11.737511
369690.630207	7647075.283065	1628.685879	619.999802	11.621
369700.597017	7647075.948698	1626.652879	629.988815	11.438872
369710.547423	7647076.943398	1624.641394	639.988815	11.373523
369720.497828	7647077.938099	1622.62991	649.988815	11.373523
369730.448234	7647078.932799	1620.618426	659.988815	11.373523
369740.398639	7647079.9275	1618.606942	669.988815	11.373523
369750.349045	7647080.9222	1616.595457	679.988815	11.373523
369760.29945	7647081.916901	1614.583973	689.988815	11.373523
369770.249856	7647082.911601	1612.572489	699.988815	11.373523
369780.200261	7647083.906302	1610.561004	709.988815	11.816534
369790.150665	7647084.901024	1608.388374	719.988815	12.428514
369800.101067	7647085.895754	1606.153418	729.988815	12.598689
369810.05147	7647086.890485	1603.918461	739.988815	12.598689
369820.001873	7647087.885215	1601.683505	749.988815	12.598689
369829.952275	7647088.879946	1599.448548	759.988815	12.598689
369839.902678	7647089.874676	1597.213592	769.988815	12.598689
369849.85308	7647090.869407	1594.978635	779.988815	12.618146
369859.823293	7647091.466557	1592.739216	789.976894	12.648642
369869.823293	7647091.465879	1590.493087	799.976894	12.659607
369879.823293	7647091.465276	1588.246972	809.976894	12.58901
369889.780289	7647091.835268	1586.03479	819.940762	12.014254
369899.514399	7647094.125922	1583.998459	829.940762	11.510288
369909.24851	7647096.416576	1581.962128	839.940762	11.510288
369918.98262	7647098.707231	1579.925796	849.940762	11.510288
369928.71673	7647100.997885	1577.889465	859.940762	11.510288
369938.45084	7647103.28854	1575.853134	869.940762	11.510288
369948.184951	7647105.579194	1573.816803	879.940762	11.510288
369957.919061	7647107.869848	1571.780471	889.940762	11.512869
369967.777536	7647109.475989	1569.745553	899.929217	11.507126
369977.695306	7647110.755773	1567.711309	909.929217	11.498807
369987.613076	7647112.035557	1565.677064	919.929217	11.498807
369997.530845	7647113.315341	1563.64282	929.929217	11.498807
370007.448615	7647114.595125	1561.608575	939.929217	14.296488
370017.418892	7647114.706403	1558.553762	949.900115	18.141129
370027.411474	7647114.321304	1555.065415	959.900115	19.231111
370037.404056	7647113.936205	1551.577068	969.900115	19.231111
370047.396638	7647113.551107	1548.088721	979.900115	19.214749
370057.390281	7647113.195026	1544.606785	989.900099	19.192279
370067.384318	7647112.849734	1541.127233	999.900099	19.186174
370077.378355	7647112.504442	1537.647681	1009.900099	19.164252
370087.372392	7647112.159165	1534.176706	1019.900099	18.574633
370097.366443	7647111.814278	1530.927006	1029.900099	18.003137
370107.360494	7647111.469392	1527.677306	1039.900099	18.003137
370117.354545	7647111.124505	1524.427606	1049.900099	18.003137
370127.348596	7647110.779619	1521.177906	1059.900099	18.003137
370137.342647	7647110.434732	1517.928206	1069.900099	17.941861
370147.337017	7647110.09927	1514.702146	1079.900098	17.867016
370157.331459	7647109.765884	1511.481298	1089.900098	17.853488
370167.3259	7647109.432499	1508.26045	1099.900098	17.853488
