x	y	z	L	slope
375259.127951	7646585.540193	88.0	0.0	-4.540427893603502
375170.084821	7646674.583323	98.0	125.92600208224067	-5.133903872922005
375081.041691	7646674.583323	106.0	214.96913208224615	-5.443509736911148
374991.998561	7646763.626453	118.0	340.8951341644868	-9.562137739566337
374902.955431	7646763.626453	133.0	429.9382641644923	-8.134815875679017
374813.9123	7646852.669583	151.0	555.864266953804	-10.350805009294406
374724.86917	7646941.712714	174.0	681.7902697426629	-12.04511832692359
374635.82604	7646941.712714	193.0	770.8333997426683	-8.580196726973952
374546.78291	7647030.755844	212.0	896.759401824909	-10.186668767074236
374457.73978	7647030.755844	228.0	985.8025318249145	-11.42828886927732
374368.69665	7647030.755844	246.0	1074.84566182492	-7.042390628467164
374279.65352	7647030.755844	257.0	1163.8887918249254	-9.562137634160761
374190.610389	7647030.755844	272.0	1252.9319228249385	-10.808762994020942
374101.567259	7647030.755844	289.0	1341.975052824944	-12.045118326931236
374012.524129	7647030.755844	308.0	1431.0181828248913	-11.42828886927732
373923.480999	7647030.755844	326.0	1520.0613128248967	-9.024535258268111
373834.437869	7647119.798974	346.0	1645.9873149071375	-11.42828886927732
373745.394739	7647119.798974	364.0	1735.030444907143	-13.878202384173798
373656.351609	7647119.798974	386.0	1824.0735749071484	-12.659126774887214
373567.308478	7647119.798974	406.0	1913.1167059071615	-10.790486303016133
373478.265348	7647030.755844	430.0	2039.0427079894023	-15.084595954296926
373389.222218	7647030.755844	454.0	2128.085837989408	-23.11082561173091
373300.179088	7647030.755844	492.0	2217.1289679894135	-13.270193897744393
373211.135958	7647030.755844	513.0	2306.1720979893607	-13.270193897736025
373122.092828	7647030.755844	534.0	2395.215227989366	-13.270193897736025
373033.049698	7647030.755844	555.0	2484.2583579893717	-12.045118195600281
372944.006567	7647030.755844	574.0	2573.301488989385	-11.42828886927732
372854.963437	7647030.755844	592.0	2662.3446189893903	-13.878202384173798
372765.920307	7647030.755844	614.0	2751.3877489893957	-10.808762994020942
372676.877177	7647030.755844	631.0	2840.430878989401	-10.808762994020942
372587.834047	7647030.755844	648.0	2929.4740089894067	-11.42828886927732
372498.790917	7647030.755844	666.0	3018.517138989412	-14.483039394760771
372409.747787	7647030.755844	689.0	3107.5602689894176	-10.80876287549855
372320.704656	7647030.755844	706.0	3196.6033999893725	-10.808762994020942
372231.661526	7647030.755844	723.0	3285.646529989378	-15.084595954296962
372142.618396	7647030.755844	747.0	3374.6896599893835	-17.455981782494415
372053.575266	7647030.755844	775.0	3463.732789989389	-15.084595954296962
371964.532136	7647030.755844	799.0	3552.7759199893944	-16.868554569052357
371875.489006	7647030.755844	826.0	3641.8190499894	-18.039645713830165
371786.445876	7647030.755844	855.0	3730.8621799894054	-20.335054011663644
371697.402745	7647030.755844	888.0	3819.9053109893603	-17.208050884429337
371608.359615	7647119.798974	927.0	3945.831313071601	-17.455981782494415
371519.316485	7647119.798974	955.0	4034.8744430716065	-20.898728057190482
371430.273355	7647119.798974	989.0	4123.917573071612	-19.767239998669055
371341.230225	7647119.798974	1021.0	4212.960703071618	-24.190593811312567
371252.187095	7647119.798974	1061.0	4302.003833071623	-18.445048847871814
371163.143965	7647208.842104	1103.0	4427.929835153864	-22.013407566264643
371074.100835	7647208.842104	1139.0	4516.972965153869	-23.110825379432736
370985.057704	7647208.842104	1177.0	4606.016096153882	-18.03462970478465
370896.014574	7647119.798974	1218.0	4731.942098236123	-17.455981782505134
370806.971444	7647119.798974	1246.0	4820.98522823607	-20.335054221325688
370717.928314	7647119.798974	1279.0	4910.028358236075	-20.335054221325688
370628.885184	7647119.798974	1312.0	4999.071488236081	-18.619462455240477
370539.842054	7647119.798974	1342.0	5088.114618236086	-18.039645713830165
370450.798924	7647119.798974	1371.0	5177.157748236092	-37.77229663650452
370361.755793	7647119.798974	1440.0	5266.200879236105	-20.335054221325688
370272.712663	7647119.798974	1473.0	5355.24400923611	-18.619462455240477
370183.669533	7647119.798974	1503.0	5444.287139236116	-18.039645713830165
370094.626403	7647119.798974	1532.0	5533.330269236121	-19.195352352323887
370005.583273	7647119.798974	1563.0	5622.3733992360685	-10.808762994020942
369916.540143	7647119.798974	1580.0	5711.416529236074	-12.659126912474976
369827.497013	7647119.798974	1600.0	5800.4596592360795	-12.659126774887214
369738.453882	7647119.798974	1620.0	5889.502790236093	-10.186668767074236
369649.410752	7647119.798974	1636.0	5978.545920236098	-13.270193897736025
369560.367622	7647119.798974	1657.0	6067.5890502361035	-8.935304810410589
369471.324492	7647119.798974	1671.0	6156.632180236109	-10.808762994020942
369382.281362	7647119.798974	1688.0	6245.6753102361145	-7.042390628467164
369293.238232	7647119.798974	1699.0	6334.71844023612	-6.407760622505697
369204.195102	7647119.798974	1709.0	6423.761570236067	-7.6752885955549885
369115.151971	7647119.798974	1721.0	6512.80470123608	0.0
