x	y	z	L	slope
369070.630405	7647164.320540	1726.750000	0.000000	7.517456
369080.630405	7647164.320540	1725.430415	10.000000	7.517456
369090.630405	7647164.320540	1724.110829	20.000000	7.517456
369100.630405	7647164.320540	1722.791244	30.000000	7.517456
369110.630405	7647164.320540	1721.471659	40.000000	7.517456
369120.630405	7647164.320540	1720.152074	50.000000	7.517456
369130.630405	7647164.320540	1718.832488	60.000000	7.517456
369140.630405	7647164.320540	1717.512903	70.000000	7.517456
369150.630405	7647164.320540	1716.193318	80.000000	7.494266
369160.590066	7647164.595442	1714.886776	89.963454	7.109367
369170.168497	7647167.468363	1713.703498	99.963454	6.748501
369179.746927	7647170.341284	1712.520221	109.963454	6.748501
369189.325357	7647173.214205	1711.336943	119.963454	6.748501
369198.903787	7647176.087126	1710.153666	129.963454	6.748501
369208.482217	7647178.960047	1708.970388	139.963454	6.748501
369218.060647	7647181.832968	1707.787111	149.963454	6.748501
369227.639078	7647184.705889	1706.603833	159.963454	6.748501
369237.217508	7647187.578810	1705.420556	169.963454	6.748501
369246.795938	7647190.451731	1704.237278	179.963454	6.545479
369256.429779	7647193.131085	1703.125887	189.962946	6.291088
369266.077519	7647195.761888	1702.032528	199.962946	6.239889
369275.725258	7647198.392690	1700.939168	209.962946	6.239889
369285.372998	7647201.023493	1699.845808	219.962946	6.239889
369295.020737	7647203.654296	1698.752448	229.962946	6.570885
369304.552300	7647206.668862	1697.542452	239.959860	7.026860
369314.039278	7647209.830705	1696.287693	249.959860	7.152071
369323.526255	7647212.992548	1695.032935	259.959860	7.152071
369333.013233	7647216.154392	1693.778176	269.959860	7.532665
369342.535666	7647219.205581	1692.388452	279.959184	8.291835
369352.093600	7647222.145973	1690.863588	289.959184	8.670296
369361.651533	7647225.086364	1689.338724	299.959184	8.670296
369371.209467	7647228.026756	1687.813860	309.959184	8.670296
369380.767401	7647230.967148	1686.288996	319.959184	8.670296
369390.325334	7647233.907540	1684.764132	329.959184	8.670296
369399.883268	7647236.847931	1683.239268	339.959184	8.670296
369409.441202	7647239.788323	1681.714404	349.959184	8.981364
369419.188264	7647241.470857	1680.095535	359.850400	9.597792
369429.188264	7647241.471144	1678.350946	369.850400	9.906650
369439.187307	7647241.440717	1676.602848	379.849489	10.104455
369449.167906	7647240.818109	1674.787068	389.849489	10.291828
369459.148505	7647240.195502	1672.971289	399.849489	10.291828
369469.129105	7647239.572895	1671.155509	409.849489	10.291828
369479.109704	7647238.950288	1669.339729	419.849489	10.291828
369489.090303	7647238.327680	1667.523949	429.849489	10.291828
369499.070902	7647237.705073	1665.708169	439.849489	10.291828
369509.051501	7647237.082466	1663.892389	449.849489	10.373315
369519.032099	7647236.459831	1662.047220	459.849489	10.628304
369529.012693	7647235.837139	1660.139377	469.849489	10.801652
369538.993287	7647235.214447	1658.231534	479.849489	10.801652
369548.973880	7647234.591754	1656.323690	489.849489	10.801652
369558.954474	7647233.969062	1654.415847	499.849489	10.801652
369568.935068	7647233.346369	1652.508004	509.849489	10.801652
369578.915662	7647232.723677	1650.600161	519.849489	10.897185
369588.838275	7647231.593379	1648.660291	529.836271	11.075212
369598.702205	7647229.949335	1646.688007	539.836271	11.178499
369608.552997	7647228.231095	1644.708197	549.835794	11.234159
369618.381681	7647226.388011	1642.715723	559.835794	11.268798
369628.210366	7647224.544926	1640.723249	569.835794	11.182088
369638.087640	7647223.103456	1638.765811	579.817697	10.871434
369648.072279	7647222.549390	1636.885788	589.817697	10.647769
369658.056918	7647221.995323	1635.005765	599.817697	10.647769
369668.041557	7647221.441257	1633.125742	609.817697	10.647769
369678.026195	7647220.887191	1631.245719	619.817697	10.647769
369688.010834	7647220.333124	1629.365696	629.817697	10.699022
369697.996111	7647219.790870	1627.467149	639.817687	10.824884
369707.982318	7647219.265831	1625.541606	649.817687	10.899472
369717.968525	7647218.740791	1623.616064	659.817687	10.899472
369727.954733	7647218.215752	1621.690521	669.817687	10.899472
369737.940940	7647217.690712	1619.764978	679.817687	11.062080
369747.911009	7647217.027416	1617.782082	689.809795	12.502148
369757.749670	7647215.238355	1615.332183	699.809795	13.766162
369767.588332	7647213.449294	1612.882284	709.809795	13.766162
369777.426993	7647211.660233	1610.432385	719.809795	13.592004
369787.232140	7647209.705233	1608.047325	729.807942	13.188821
369796.993944	7647207.535627	1605.746121	739.807942	12.959698
369806.755748	7647205.366021	1603.444917	749.807942	12.959698
369816.517551	7647203.196415	1601.143713	759.807942	12.959698
369826.279355	7647201.026809	1598.842509	769.807942	12.959698
369836.041158	7647198.857203	1596.541306	779.807942	12.446721
369845.968002	7647199.117953	1594.443649	789.738209	11.756237
369855.933500	7647199.947921	1592.393666	799.738209	11.585375
369865.898998	7647200.777889	1590.343683	809.738209	11.568811
369875.864498	7647201.607836	1588.299724	819.738209	11.525881
369885.830001	7647202.437750	1586.265352	829.738209	11.499512
369895.795504	7647203.267663	1584.230979	839.738209	11.499512
369905.761006	7647204.097577	1582.196607	849.738209	11.785247
369915.645895	7647205.432071	1580.063570	859.712772	12.581882
