x	y	z	L	slope
368981.587276	7647075.277411	1739.000000	0.000000	6.319622
368991.331188	7647077.526006	1737.892556	10.000000	6.319622
369001.075100	7647079.774601	1736.785112	20.000000	6.319622
369010.819012	7647082.023196	1735.677669	30.000000	6.319622
369020.562924	7647084.271791	1734.570225	40.000000	6.319622
369030.306836	7647086.520386	1733.462781	50.000000	6.319622
369040.050748	7647088.768982	1732.355337	60.000000	6.319622
369049.794660	7647091.017577	1731.247893	70.000000	6.971396
369059.685849	7647091.972998	1729.917529	79.937225	8.066262
369069.685849	7647091.972998	1728.422467	89.937225	8.503344
369079.685849	7647091.972998	1726.927405	99.937225	8.429053
369089.685849	7647091.972902	1725.458849	109.937225	8.113925
369099.685849	7647091.972495	1724.076109	119.937225	7.872828
369109.685849	7647091.972088	1722.693369	129.937225	7.872828
369119.685849	7647091.971681	1721.310629	139.937225	7.872828
369129.685849	7647091.971274	1719.927889	149.937225	7.872828
369139.685849	7647091.970867	1718.545149	159.937225	7.872828
369149.685849	7647091.970460	1717.162409	169.937225	7.872380
369159.685849	7647091.970053	1715.779829	179.937225	7.507806
369169.685849	7647091.969565	1714.526666	189.937225	7.143071
369179.685849	7647091.969077	1713.273503	199.937225	7.143071
369189.685849	7647091.968589	1712.020340	209.937225	7.143071
369199.685849	7647091.968100	1710.767176	219.937225	7.143071
369209.685849	7647091.967612	1709.514013	229.937225	7.143071
369219.685849	7647091.967124	1708.260850	239.937225	7.143071
369229.685849	7647091.966635	1707.007687	249.937225	6.937601
369239.685849	7647091.965960	1705.827338	259.937225	6.669058
369249.685849	7647091.965234	1704.669246	269.937225	6.606376
369259.685849	7647091.964568	1703.511073	279.937225	6.716359
369269.685849	7647091.964378	1702.314066	289.937225	6.972460
369279.685849	7647091.964822	1701.065212	299.937225	7.118763
369289.685849	7647091.965266	1699.816358	309.937225	7.118763
369299.685849	7647091.965710	1698.567503	319.937225	7.118763
369309.685849	7647091.966154	1697.318649	329.937225	7.118763
369319.685849	7647091.966598	1696.069794	339.937225	7.118763
369329.685849	7647091.967041	1694.820940	349.937225	7.253681
369339.685849	7647091.967455	1693.524243	359.937225	7.952837
369349.685849	7647091.967742	1692.026993	369.937225	8.515607
369359.685849	7647091.968030	1690.529743	379.937225	8.515607
369369.685849	7647091.968317	1689.032493	389.937225	8.515607
369379.685849	7647091.968604	1687.535243	399.937225	8.515607
369389.685849	7647091.968891	1686.037993	409.937225	8.515607
369399.685849	7647091.969179	1684.540742	419.937225	8.515607
369409.685849	7647091.969466	1683.043492	429.937225	9.336560
369419.685848	7647091.970509	1681.252610	439.937225	10.189821
369429.685848	7647091.971586	1679.448701	449.937225	10.225924
369439.685848	7647091.972664	1677.644808	459.937225	10.113153
369449.548544	7647093.269310	1675.890881	469.884791	9.888186
369459.326629	7647095.364315	1674.167743	479.884791	9.777128
369469.104714	7647097.459321	1672.444606	489.884791	9.777128
369478.882800	7647099.554326	1670.721469	499.884791	9.777128
369488.660885	7647101.649332	1668.998331	509.884791	9.777128
369498.438970	7647103.744338	1667.275194	519.884791	9.777128
369508.217055	7647105.839343	1665.552057	529.884791	9.752374
369518.021827	7647107.784702	1663.838521	539.880689	9.630745
369527.921334	7647109.198835	1662.159068	549.880689	9.533868
369537.820840	7647110.612968	1660.479615	559.880689	9.533868
369547.720347	7647112.027101	1658.800162	569.880689	9.533868
369557.619853	7647113.441234	1657.120709	579.880689	9.910360
369567.538973	7647114.579483	1655.308739	589.864904	11.787896
369577.538973	7647114.580093	1652.950321	599.864904	13.270641
369587.538973	7647114.580704	1650.591904	609.864904	13.270641
369597.538973	7647114.581314	1648.233486	619.864904	13.270644
369607.538973	7647114.581945	1645.875066	629.864904	13.270657
369617.538973	7647114.582631	1643.516644	639.864904	13.270666
369627.538973	7647114.583318	1641.158221	649.864904	13.270666
369637.538973	7647114.584005	1638.799799	659.864904	12.813790
369647.538973	7647114.584334	1636.609409	669.864904	11.437289
369657.538973	7647114.583953	1634.753666	679.864904	10.513339
369667.538973	7647114.583571	1632.897924	689.864904	10.513339
369677.538973	7647114.583190	1631.042181	699.864904	10.513339
369687.538973	7647114.582808	1629.186438	709.864904	10.501616
369697.538973	7647114.582455	1627.334928	719.864904	10.469108
369707.538973	7647114.582149	1625.490921	729.864904	10.448321
